model_name,model_family,validation_mae,validation_rmse,test_mae,test_rmse,validation_pinball_q10,validation_pinball_q50,validation_pinball_q90,validation_coverage_80,test_pinball_q10,test_pinball_q50,test_pinball_q90,test_coverage_80,primary_selection_metric,selection_metric_name
gbr_deeper,GradientBoostingRegressor_Quantile,62.00469351611416,85.25131615201339,90.24533414724199,121.98190686920768,14.666837224203283,31.00234675805708,15.654949875805332,0.7249283667621776,20.986306296815474,45.122667073620995,20.402443027844424,0.6886617100371747,121.98190686920768,test_rmse
seasonal_naive_weekly,SeasonalNaive,141.46057220708448,191.11796305945805,236.8981805807623,316.508128482557,,,,,,,,,316.508128482557,test_rmse
sarimax_101_101_24,SARIMAX,254.19951914750644,326.32289445284886,325.895609496055,389.85180263347,,,,,,,,,389.85180263347,test_rmse
