horizon_label,lead_hours,selected_model_name,model_family,validation_mae,validation_rmse,validation_pinball_q10,validation_pinball_q50,validation_pinball_q90,validation_coverage_80,test_mae,test_rmse,test_pinball_q10,test_pinball_q50,test_pinball_q90,test_coverage_80,source_summary_path,test_calibration_assessment
t_plus_1,1,gbr_deeper,GradientBoostingRegressor_Quantile,98.30605083808494,132.92606793065752,22.918024185671136,49.15302541904247,25.97236750298009,0.6880382775119617,128.9621629861237,174.5878988686797,32.51730170438917,64.48108149306185,34.454152002471616,0.6033519553072626,models\horizon_quantile_gbr\t_plus_1\summary.json,under-covered
t_plus_24,24,gbr_deeper,GradientBoostingRegressor_Quantile,100.86012957921518,132.00751893970505,24.28259933934363,50.43006478960759,23.971028883133,0.7586206896551724,180.46889435548854,238.993026823652,49.932407729118914,90.23444717774427,46.378991593562915,0.5566127497621313,models\horizon_quantile_gbr\t_plus_24\summary.json,under-covered
t_plus_168,168,gbr_small,GradientBoostingRegressor_Quantile,164.6027361552825,226.51178695916525,35.59354163925104,82.30136807764126,62.93857365109635,0.5436241610738255,398.237727563448,510.7549262773795,140.0068877446842,199.118863781724,51.72822036428931,0.4889867841409692,models\horizon_quantile_gbr\t_plus_168\summary.json,under-covered
