timestamp_utc,load_mw,load_missing_flag,wind_onshore_mw,wind_missing_flag_raw,wind_missing_flag_postfill,hour_of_day,day_of_week,month,day_of_year,sin_hour,cos_hour,sin_dow,cos_dow,sin_month,cos_month,load_lag_1,load_lag_24,load_lag_48,load_lag_168,load_rollmean_24,load_rollstd_24,target_available_for_training
2024-05-03 22:00:00+00:00,3564.95,0,339.96000000000004,0,0,22,4,5,124,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,3841.445,3549.37,3551.925,3604.05,3869.513125,479.53926329889066,1
2024-05-03 23:00:00+00:00,3379.115,0,340.93,0,0,23,4,5,124,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,3564.95,3367.545,3357.075,3415.725,3869.9952083333337,479.01822425274935,1
2024-05-04 00:00:00+00:00,3244.62,0,294.72,0,0,0,5,5,125,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,3379.115,3250.155,3246.105,3306.135,3869.764583333333,479.3308538607342,1
2024-05-04 01:00:00+00:00,3174.45,0,299.67,0,0,1,5,5,125,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,3244.62,3160.83,3170.145,3223.82,3870.3320833333332,478.46229912110294,1
2024-05-04 02:00:00+00:00,3093.71,0,285.635,0,0,2,5,5,125,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,3174.45,3107.46,3112.355,3171.295,3869.7591666666667,479.4227559777212,1
2024-05-04 03:00:00+00:00,3041.165,0,246.86,0,0,3,5,5,125,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,3093.71,3062.7650000000003,3112.01,3134.55,3868.8591666666666,481.0211684681777,1
2024-05-04 04:00:00+00:00,3047.57,0,195.495,0,0,4,5,5,125,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,3041.165,3113.295,3149.935,3153.38,3866.120625,485.6743442175142,1
2024-05-04 05:00:00+00:00,3089.51,0,163.36,0,0,5,5,5,125,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,3047.57,3320.86,3380.335,3231.875,3856.4810416666664,499.0780576134936,1
2024-05-04 06:00:00+00:00,3298.98,0,150.385,0,0,6,5,5,125,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,3089.51,3815.945,3913.65,3445.5,3834.9408333333336,511.89518210288355,1
2024-05-04 07:00:00+00:00,3603.51,0,115.95,0,0,7,5,5,125,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,3298.98,4253.93,4336.31,3690.915,3807.84,505.9311246473742,1
2024-05-04 08:00:00+00:00,3867.56,0,117.425,0,0,8,5,5,125,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,3603.51,4371.219999999999,4436.48,3897.65,3786.8541666666665,491.79461494228764,1
2024-05-04 09:00:00+00:00,3968.35,0,128.965,0,0,9,5,5,125,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,3867.56,4326.4,4403.72,3923.1,3771.935416666667,480.0051661133166,1
2024-05-04 10:00:00+00:00,3978.305,0,136.13,0,0,10,5,5,125,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,3968.35,4278.58,4382.665,3901.43,3759.4239583333333,470.035006159301,1
2024-05-04 11:00:00+00:00,3950.805,0,141.82,0,0,11,5,5,125,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,3978.305,4249.675,4337.54,3853.21,3746.971041666667,460.3408792452665,1
2024-05-04 12:00:00+00:00,3892.735,0,145.38,0,0,12,5,5,125,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,3950.805,4214.3150000000005,4283.625,3826.48,3733.571875,450.72615466796384,1
2024-05-04 13:00:00+00:00,3785.18,0,164.35500000000002,0,0,13,5,5,125,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,3892.735,4148.01,4206.1,3711.125,3718.4539583333335,442.2257310149392,1
