horizon,DeepAR_weather,GBR,GBR_weather,best_model,best_rmse
t_plus_1,609.8781376537676,174.5878988686797,166.47860682140762,GBR_weather,166.47860682140762
t_plus_168,535.5964446203311,510.7549262773795,455.77503815525597,GBR_weather,455.77503815525597
t_plus_24,602.2993082346537,238.993026823652,232.42144669650688,GBR_weather,232.42144669650688
